|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|23||e||e||e||e||e||e||e|
|23||-||23||-||q||-||14||-|
|14||-||12||-||23||e||e||e|
|-||13||-||24||-||24||-||24|
|-||24||-||13||-||13||-||13|
|-||13||-||24||-||24||-||24|
|-||24||-||13||-||13||-||13|
|-||13||-||24||-||24||-||24|
|-||24||-||13||-||13||-||13|
|-||13||-||24||-||24||-||24|
|-||24||-||13||-||13||-||13|
|-||35||-||-||35||-||-||35|
|-||-||35||-||-||-||24||-|
|-||24||-||-||24||-||-||24|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
|-||-||-||-||-||-||-||-|
